title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82,80
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,91,82
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80
